Date,Value
01/01/1991,100
02/01/1991,100.45
03/01/1991,100.48
04/01/1991,100.33
05/01/1991,100.38
06/01/1991,100.05
07/01/1991,100.54
08/01/1991,100.38
09/01/1991,100.61
10/01/1991,100.91
11/01/1991,101.41
12/01/1991,101.89
01/01/1992,102.24
02/01/1992,102.97
03/01/1992,102.81
04/01/1992,102.56
05/01/1992,102.58
06/01/1992,102.51
07/01/1992,102.87
08/01/1992,103.32
09/01/1992,103.71
10/01/1992,104.03
11/01/1992,104.28
12/01/1992,104.21
01/01/1993,104.25
02/01/1993,104.07
03/01/1993,104.38
04/01/1993,105.02
05/01/1993,105.24
06/01/1993,105.61
07/01/1993,105.67
08/01/1993,106.05
09/01/1993,106.45
10/01/1993,106.65
11/01/1993,106.98
12/01/1993,107.52
01/01/1994,107.77
02/01/1994,108.01
03/01/1994,108.36
04/01/1994,108.68
05/01/1994,109.04
06/01/1994,109.22
07/01/1994,109.35
08/01/1994,109.61
09/01/1994,109.69
10/01/1994,109.96
11/01/1994,110.18
12/01/1994,110.19
01/01/1995,110.49
02/01/1995,111.11
03/01/1995,110.93
04/01/1995,111.02
05/01/1995,111.35
06/01/1995,111.73
07/01/1995,112.25
08/01/1995,112.54
09/01/1995,112.78
10/01/1995,112.83
11/01/1995,113.06
12/01/1995,113.54
01/01/1996,113.96
02/01/1996,114.13
03/01/1996,114.54
04/01/1996,114.08
05/01/1996,115.05
06/01/1996,115.16
07/01/1996,115.55
08/01/1996,115.56
09/01/1996,115.86
10/01/1996,115.96
11/01/1996,116.27
12/01/1996,116.65
01/01/1997,116.79
02/01/1997,117.09
03/01/1997,117.54
04/01/1997,117.76
05/01/1997,118.02
06/01/1997,118.25
07/01/1997,118.55
08/01/1997,118.99
09/01/1997,119.15
10/01/1997,119.77
11/01/1997,120.15
12/01/1997,120.55
01/01/1998,121
02/01/1998,121.87
03/01/1998,122.27
04/01/1998,122.82
05/01/1998,123.03
06/01/1998,124.09
07/01/1998,124.41
08/01/1998,124.94
09/01/1998,125.73
10/01/1998,126.26
11/01/1998,127.09
12/01/1998,127.67
01/01/1999,128.38
02/01/1999,128.92
03/01/1999,129.49
04/01/1999,130.11
05/01/1999,130.88
06/01/1999,131.49
07/01/1999,132.22
08/01/1999,133.02
09/01/1999,133.04
10/01/1999,134.19
11/01/1999,134.76
12/01/1999,135.43
01/01/2000,137
02/01/2000,136.84
03/01/2000,137.88
04/01/2000,138.82
05/01/2000,139.39
06/01/2000,140.36
07/01/2000,141.09
08/01/2000,141.64
09/01/2000,142.49
10/01/2000,143.28
11/01/2000,144.16
12/01/2000,145.02
01/01/2001,145.94
02/01/2001,146.95
03/01/2001,147.73
04/01/2001,148.06
05/01/2001,149.24
06/01/2001,149.97
07/01/2001,150.08
08/01/2001,151.53
09/01/2001,152.31
10/01/2001,153.25
11/01/2001,153.73
12/01/2001,154.71
01/01/2002,155.56
02/01/2002,156.49
03/01/2002,157.49
04/01/2002,158.32
05/01/2002,159.39
06/01/2002,160.39
07/01/2002,161.41
08/01/2002,162.44
09/01/2002,163.44
10/01/2002,164.57
11/01/2002,165.54
12/01/2002,166.73
01/01/2003,167.76
02/01/2003,168.08
03/01/2003,169.35
04/01/2003,170.41
05/01/2003,171.33
06/01/2003,172.13
07/01/2003,173.04
08/01/2003,174.67
09/01/2003,176.09
10/01/2003,177.11
11/01/2003,178.53
12/01/2003,179.99
01/01/2004,181.14
02/01/2004,182.53
03/01/2004,183.86
04/01/2004,185.39
05/01/2004,187.13
06/01/2004,189.06
07/01/2004,190.58
08/01/2004,191.97
09/01/2004,193.47
10/01/2004,194.92
11/01/2004,196.07
12/01/2004,198.43
01/01/2005,199.84
02/01/2005,201.03
03/01/2005,203.33
04/01/2005,205.14
05/01/2005,206.83
06/01/2005,208.59
07/01/2005,210.69
08/01/2005,212.02
09/01/2005,214.17
10/01/2005,215.36
11/01/2005,216.77
12/01/2005,218.04
01/01/2006,219.04
02/01/2006,219.83
03/01/2006,220.07
04/01/2006,221.12
05/01/2006,221.65
06/01/2006,221.65
07/01/2006,221.51
08/01/2006,222.01
09/01/2006,222.05
10/01/2006,222.29
11/01/2006,222.97
12/01/2006,223.04
01/01/2007,223.84
02/01/2007,223.85
03/01/2007,224.75
04/01/2007,224.08
05/01/2007,223.67
06/01/2007,222.79
07/01/2007,221.71
08/01/2007,220.71
09/01/2007,219.83
10/01/2007,217.97
11/01/2007,216.05
12/01/2007,215.04
01/01/2008,213.58
02/01/2008,212.23
03/01/2008,210.04
04/01/2008,208.04
05/01/2008,205.75
06/01/2008,204.42
07/01/2008,202.51
08/01/2008,200.45
09/01/2008,198.61
10/01/2008,196.97
11/01/2008,193.47
12/01/2008,192.93
01/01/2009,194.46
02/01/2009,194.72
03/01/2009,192.04
04/01/2009,191.22
05/01/2009,191.09
06/01/2009,191.02
07/01/2009,190.43
08/01/2009,190.14
09/01/2009,189.91
10/01/2009,190.31
11/01/2009,190.93
12/01/2009,189.13
01/01/2010,189.14
02/01/2010,188.37
03/01/2010,188.11
04/01/2010,188.04
05/01/2010,188.36
06/01/2010,186.39
07/01/2010,185.24
08/01/2010,185.07
09/01/2010,183.28
10/01/2010,183.55
11/01/2010,182.96
12/01/2010,181.06
01/01/2011,180.05
02/01/2011,178.92
03/01/2011,176.98
04/01/2011,177.43
05/01/2011,177.02
06/01/2011,177.44
07/01/2011,177.79
08/01/2011,177.33
09/01/2011,178.33
10/01/2011,177.41
11/01/2011,178.16
12/01/2011,178.66
01/01/2012,177.96
02/01/2012,178.48
03/01/2012,179.94
04/01/2012,180.87
05/01/2012,181.91
06/01/2012,182.66
07/01/2012,183.05
08/01/2012,184.33
09/01/2012,185.01
10/01/2012,185.09
11/01/2012,186.79
12/01/2012,187.72
01/01/2013,189.09
02/01/2013,190.37
03/01/2013,192.02
04/01/2013,193.12
05/01/2013,194.67
06/01/2013,195.88
07/01/2013,196.95
08/01/2013,197.55
09/01/2013,198.05
10/01/2013,199.08
11/01/2013,199.13
12/01/2013,200.32
01/01/2014,201.16
02/01/2014,202.03
03/01/2014,202.54
04/01/2014,203.19
05/01/2014,203.61
06/01/2014,204.64
07/01/2014,205.48
08/01/2014,206.27
09/01/2014,206.47
10/01/2014,207.56
11/01/2014,208.65
12/01/2014,209.91
01/01/2015,210.21
02/01/2015,211.88
03/01/2015,212.44
04/01/2015,213.24
05/01/2015,214.49
06/01/2015,215.32
07/01/2015,216.03
08/01/2015,216.76
09/01/2015,217.81
10/01/2015,219.05
11/01/2015,220.09
